Fish,Image,Value,Location,Shadow Size,Time,Time (New),Month
Golden Trout,https://animal-crossing.annabaker.design/img/fish/golden-trout.png,15000,River (Clifftop),3,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,March April May September October November
Stringfish,https://animal-crossing.annabaker.design/img/fish/stringfish.png,15000,River (Clifftop),5,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,January February March December
Salmon,https://animal-crossing.annabaker.design/img/fish/salmon.png,700,River (Mouth),4,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,September
King Salmon,https://animal-crossing.annabaker.design/img/fish/king-salmon.png,1800,River (Mouth),6,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,September
Mitten Crab,https://animal-crossing.annabaker.design/img/fish/mitten-crab.png,2000,River,2,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,September October November
Guppy,https://animal-crossing.annabaker.design/img/fish/guppy.png,1300,River,1,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,April May June July August September October November
Nibble Fish,https://animal-crossing.annabaker.design/img/fish/nibble-fish.png,1500,River,2,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,May June July August September
Angelfish,https://animal-crossing.annabaker.design/img/fish/angelfish.png,3000,River,2,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,May June July August September October
Betta,https://animal-crossing.annabaker.design/img/fish/betta.png,2500,River,2,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,May June July August September October
Neon Tetra,https://animal-crossing.annabaker.design/img/fish/neon-tetra.png,500,River,1,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,April May June July August September October November
Rainbowfish,https://animal-crossing.annabaker.design/img/fish/rainbowfish.png,800,River,1,9 am - 4 pm,9a 10a 11a 12p 1p 2p 3p 4p,May June July August September October
Piranha,https://animal-crossing.annabaker.design/img/fish/piranha.png,2500,River,2,9 am - 4 pm; 9 pm - 4 am,12a 1a 2a 3a 4a 9a 10a 11a 12p 1p 2p 3p 4p 9p 10p 11p,June July August September
Arowana,https://animal-crossing.annabaker.design/img/fish/arowana.png,10000,River,4,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,June July August September
Dorado,https://animal-crossing.annabaker.design/img/fish/dorado.png,15000,River,5,4 am - 9 pm,4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p,June July August September
Gar,https://animal-crossing.annabaker.design/img/fish/gar.png,6000,Pond,6,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,June July August September
Arapalma,https://animal-crossing.annabaker.design/img/fish/arapalma.png,10000,River,6,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,June July August September
Saddled Bichir,https://animal-crossing.annabaker.design/img/fish/saddled-bichir.png,4000,River,4,9 pm - 4 am,12a 1a 2a 3a 4a 9p 10p 11p,June July August September
Sturgeon,https://animal-crossing.annabaker.design/img/fish/sturgeon.png,10000,River (Mouth),6,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March September October November December
Sea Butterfly,https://animal-crossing.annabaker.design/img/fish/sea-butterfly.png,1000,Sea,1,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March December
Sea Horse,https://animal-crossing.annabaker.design/img/fish/sea-horse.png,1100,Sea,1,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,April May June July August September October November
Clown Fish,https://animal-crossing.annabaker.design/img/fish/clown-fish.png,650,Sea,1,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,April May June July August September
Surgeonfish,https://animal-crossing.annabaker.design/img/fish/surgeonfish.png,1000,Sea,2,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,April May June July August September
Butterfly Fish,https://animal-crossing.annabaker.design/img/fish/butterfly-fish.png,1000,Sea,2,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,April May June July August September
Napoleonfish,https://animal-crossing.annabaker.design/img/fish/napoleonfish.png,10000,Sea,6,4 am - 9 pm,4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p,July August
Zebra Turkeyfish,https://animal-crossing.annabaker.design/img/fish/zebra-turkeyfish.png,500,Sea,3,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,April May June July August September October November
Blowfish,https://animal-crossing.annabaker.design/img/fish/blowfish.png,5000,Sea,3,6 pm - 4 am,12a 1a 2a 3a 4a 6p 7p 8p 9p 10p 11p,January February November December
Pufferfish,https://animal-crossing.annabaker.design/img/fish/pufferfish.png,250,Sea,3,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,July August September
Anchovy,https://animal-crossing.annabaker.design/img/fish/anchovy.png,200,Sea,2,4 am - 9 pm,4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p,January February March April May June July August September October November December
Horse Mackerel,https://animal-crossing.annabaker.design/img/fish/horse-mackerel.png,150,Sea,2,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Barred Knifejaw,https://animal-crossing.annabaker.design/img/fish/barred-knifejaw.png,5000,Sea,3,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,March April May June July August September October November
Sea Bass,https://animal-crossing.annabaker.design/img/fish/sea-bass.png,400,Sea,5,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Red Snapper,https://animal-crossing.annabaker.design/img/fish/red-snapper.png,3000,Sea,4,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Dab,https://animal-crossing.annabaker.design/img/fish/dab.png,300,Sea,3,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April October November December
Olive Flounder,https://animal-crossing.annabaker.design/img/fish/olive-flounder.png,800,Sea,5,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
Squid,https://animal-crossing.annabaker.design/img/fish/squid.png,500,Sea,3,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August December
Moray Eel,https://animal-crossing.annabaker.design/img/fish/moray-eel.png,2000,Sea,Narrow,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,August September October
Ribbon Eel,https://animal-crossing.annabaker.design/img/fish/ribbon-eel.png,600,Sea,Narrow,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,June July August September October
Tuna,https://animal-crossing.annabaker.design/img/fish/tuna.png,7000,Pier,6,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April November December
Blue Marlin,https://animal-crossing.annabaker.design/img/fish/blue-marlin.png,10000,Pier,6,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April July August September November December
Giant Trevally,https://animal-crossing.annabaker.design/img/fish/giant-trevally.png,4500,Pier,5,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,May June July August September October
Mahi-Mahi,https://animal-crossing.annabaker.design/img/fish/mahi-mahi.png,6000,Pier,5,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,May June July August September October
Ocean Sunfish,https://animal-crossing.annabaker.design/img/fish/ocean-sunfish.png,4000,Sea,6 (Fin),4 am - 9 pm,4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p,July August September
Ray,https://animal-crossing.annabaker.design/img/fish/ray.png,3000,Sea,5,4 am - 9 pm,4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p,August September October November
Saw Shark,https://animal-crossing.annabaker.design/img/fish/saw-shark.png,12000,Sea,6 (Fin),4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,June July August September
Hammerhead Shark,https://animal-crossing.annabaker.design/img/fish/hammerhead-shark.png,8000,Sea,6 (Fin),4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,June July August September
Great White Shark,https://animal-crossing.annabaker.design/img/fish/great-white-shark.png,15000,Sea,6 (Fin),4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,June July August September
Whale Shark,https://animal-crossing.annabaker.design/img/fish/whale-shark.png,13000,Sea,6 (Fin),All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,June July August September
Suckerfish,https://animal-crossing.annabaker.design/img/fish/suckerfish.png,1500,Sea,4 (Fin),All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,June July August September
Football Fish,https://animal-crossing.annabaker.design/img/fish/football-fish.png,2500,Sea,4,4 pm - 9 am,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 4p 5p 6p 7p 8p 9p 10p 11p,January February March November December
Oarfish,https://animal-crossing.annabaker.design/img/fish/oarfish.png,9000,Sea,6,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May December
Barreleye,https://animal-crossing.annabaker.design/img/fish/barreleye.png,15000,Sea,2,9 pm - 4 am,12a 1a 2a 3a 4a 9p 10p 11p,January February March April May June July August September October November December
Coelacanth,https://animal-crossing.annabaker.design/img/fish/coelacanth.png,15000,Sea (Raining),6,All day,12a 1a 2a 3a 4a 5a 6a 7a 8a 9a 10a 11a 12p 1p 2p 3p 4p 5p 6p 7p 8p 9p 10p 11p,January February March April May June July August September October November December
